Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
THE INAUGURAL ADDRESS 2009,Barack Obama,Penguin,143116428,9.78014E+12,Hardcover Nonfiction,3/15/09,4,Penguin Random House
THE GAMBLE,Thomas E Ricks,Penguin Press,1594201978,9.78159E+12,Hardcover Nonfiction,3/15/09,3,Penguin Random House
THE NEXT 100 YEARS,George Friedman,Doubleday,038551705X,9.78039E+12,Hardcover Nonfiction,3/15/09,4,Penguin Random House
A SLOBBERING LOVE AFFAIR,Bernard Goldberg,Regnery,1596980907,9.7816E+12,Hardcover Nonfiction,3/15/09,5,Regnery Publishing
"ARE YOU THERE, VODKA? IT’S ME, CHELSEA",Chelsea Handler,Simon Spotlight Entertainment,1416954120,9.78142E+12,Hardcover Nonfiction,3/15/09,30,Simon & Schuster
MELTDOWN,Thomas E Woods Jr,Regnery,1596985879,9.7816E+12,Hardcover Nonfiction,3/15/09,3,Regnery Publishing
WHY WE SUCK,Denis Leary,Viking,670031607,9.78067E+12,Hardcover Nonfiction,3/15/09,15,Penguin Random House
NO ANGEL,Jay Dons and Nils Johnson-Shelton,Crown,307405850,9.78031E+12,Hardcover Nonfiction,3/15/09,0,Penguin Random House
GUILTY,Ann Coulter,Crown Forum,030735346X,9.78031E+12,Hardcover Nonfiction,3/15/09,0,Penguin Random House
HOW WE DECIDE,Jonah Lehrer,Houghton Mifflin Harcourt,618620117,9.78062E+12,Hardcover Nonfiction,3/15/09,0,Houghton Mifflin Harcourt
THE RETURN OF DEPRESSION ECONOMICS AND THE CRISIS OF 2008,Paul Krugman,Norton,393071014,9.78039E+12,Hardcover Nonfiction,3/15/09,0,Norton
THE SHACK,William P Young,Windblown Media,964729237,9.78096E+12,Trade Fiction Paperback,3/15/09,41,Windblown Media
THE READER,Bernhard Schlink,Vintage,307454894,9.78031E+12,Trade Fiction Paperback,3/15/09,13,Penguin Random House
SUNDAYS AT TIFFANY’S,James Patterson and Gabrielle Charbonnet,Grand Central,446199443,9.78045E+12,Trade Fiction Paperback,3/15/09,8,Grand Central
FIREFLY LANE,Kristin Hannah,St. Martin's Griffin,312537077,9.78031E+12,Trade Fiction Paperback,3/15/09,8,Macmillan Publishers
REVOLUTIONARY ROAD,Richard Yates,Vintage,375708448,9.78038E+12,Trade Fiction Paperback,3/15/09,13,Penguin Random House
AMERICAN WIFE,Curtis Sittenfeld,Random House,812975405,9.78081E+12,Trade Fiction Paperback,3/15/09,3,Penguin Random House
A THOUSAND SPLENDID SUNS,Khaled Hosseini,Riverhead,1594489505,9.78159E+12,Trade Fiction Paperback,3/15/09,14,Penguin Random House
SLUMDOG MILLIONAIRE,Vikas Swarup,Scribner,1439136653,9.78144E+12,Trade Fiction Paperback,3/15/09,3,Simon & Schuster
STILL ALICE,Lisa Genova,Pocket,1439102813,9.78144E+12,Trade Fiction Paperback,3/15/09,8,
PEOPLE OF THE BOOK,Geraldine Brooks,Penguin,143115006,9.78014E+12,Trade Fiction Paperback,3/15/09,9,Penguin Random House
THE ALCHEMIST,Paulo Coelho,HarperOne,61122416,9.78006E+12,Trade Fiction Paperback,3/15/09,76,HarperCollins
