,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2543,THE ROOSTER BAR,John Grisham,Bantam,1101967692,9781101967690,Trade Fiction Paperback,2018-08-05,5
2544,THE GIRL WHO TAKES AN EYE FOR AN EYE,David Lagercrantz,Vintage Crime/Black Lizard,1101974168,9781101974162,Trade Fiction Paperback,2018-08-05,4
2545,KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco,0060899220,9780060899226,Paperback Nonfiction,2018-08-05,42
2546,THINGS THAT MATTER,Charles Krauthammer,Crown,038534919X,9780385349192,Paperback Nonfiction,2018-08-05,10
2547,SAPIENS,Yuval Noah Harari,Harper Perennial,0062316117,9780062316110,Paperback Nonfiction,2018-08-05,10
2548,KILLERS OF THE FLOWER MOON,David Grann,Vintage,0307742482,9780307742483,Paperback Nonfiction,2018-08-05,16
2549,HILLBILLY ELEGY,J.D. Vance,Harper,0062300555,9780062300553,Paperback Nonfiction,2018-08-05,12
2550,RED NOTICE,Bill Browder,Simon & Schuster,1476755744,9781476755748,Paperback Nonfiction,2018-08-05,3
2551,OUTLIERS,Malcolm Gladwell,"Back Bay/Little, Brown",0316017930,9780316017930,Paperback Nonfiction,2018-08-05,262
2552,WHY WE SLEEP,Matthew Walker,Scribner,1501144324,9781501144325,Paperback Nonfiction,2018-08-05,3
2553,JUST MERCY,Bryan Stevenson,Spiegel & Grau,081298496X,9780812984965,Paperback Nonfiction,2018-08-05,113
2554,THE GLASS CASTLE,Jeannette Walls,Scribner,074324754X,9780743247542,Paperback Nonfiction,2018-08-05,430
2555,BEING MORTAL,Atul Gawande,Picador,1250076226,9781250076229,Paperback Nonfiction,2018-08-05,46
2556,BRAIN ON FIRE,Susannah Cahalan,Simon & Schuster,1451621388,9781451621389,Paperback Nonfiction,2018-08-05,52
