,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
135,ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9.78152E+12,Young Adult Hardcover,3/19/2023,266,,
136,THESE INFINITE THREADS,Tahereh Mafi,HarperCollins,62972472,9.78006E+12,Young Adult Hardcover,3/19/2023,4,,
137,EXILES,Jane Harper,Flatiron,1250874866,9.78125E+12,Combined Print and E-Book Fiction,2/19/2023,1,4,17
138,COBALT RED,Siddharth Kara,St. Martin's,1250284309,9.78125E+12,Combined Print and E-Book Nonfiction,2/19/2023,1,4.5,2
139,AND THERE WAS LIGHT,Jon Meacham,Random House,553393979,9.78055E+12,Combined Print and E-Book Nonfiction,2/19/2023,15,4.5,5
140,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,Flatiron,1250866448,9.78125E+12,Combined Print and E-Book Nonfiction,2/19/2023,14,3.5,8
141,STRAIGHT SHOOTER,Stephen A. Smith,Gallery/13A,1982189495,9.78198E+12,Combined Print and E-Book Nonfiction,2/19/2023,3,4,1
142,MASTER SLAVE HUSBAND WIFE,Ilyon Woo,Simon & Schuster,1501191055,9.7815E+12,Combined Print and E-Book Nonfiction,2/19/2023,2,4.5,3
143,MAAME,Jessica George,St. Martin's,1250282527,9.78125E+12,Hardcover Fiction,2/19/2023,1,4,10
144,THE HOUSE OF WOLVES,James Patterson and Mike Lupica,"Little, Brown",316404292,9.78032E+12,Hardcover Fiction,2/19/2023,4,5,1
145,EXILES,Jane Harper,Flatiron,1250235359,9.78125E+12,Hardcover Fiction,2/19/2023,1,4,17
146,HOW TO SELL A HAUNTED HOUSE,Grady Hendrix,Berkley,593201264,9.78059E+12,Hardcover Fiction,2/19/2023,3,4,9
147,HORSE,Geraldine Brooks,Viking,399562966,9.7804E+12,Hardcover Fiction,2/19/2023,10,4.5,27
148,FINLAY DONOVAN JUMPS THE GUN,Elle Cosimano,Minotaur,125084603X,9.78125E+12,Hardcover Fiction,2/19/2023,1,4,14
149,SURRENDER,Bono,Knopf,525521046,9.78053E+12,Hardcover Nonfiction,2/19/2023,14,4.5,3
150,AND THERE WAS LIGHT,Jon Meacham,Random House,553393960,9.78055E+12,Hardcover Nonfiction,2/19/2023,16,4.5,5
151,MAYBE SOMEDAY,Colleen Hoover,Atria,1476753164,9.78148E+12,Trade Fiction Paperback,2/19/2023,29,,
152,WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219109,9.78074E+12,Trade Fiction Paperback,2/19/2023,97,4,239
153,A MAN CALLED OVE,Fredrik Backman,Washington Square,1476738025,9.78148E+12,Trade Fiction Paperback,2/19/2023,93,4.5,3038
154,MAYBE NOW,Colleen Hoover,Atria,1668013347,9.78167E+12,Trade Fiction Paperback,2/19/2023,14,,
155,SAPIENS,Yuval Noah Harari,Harper Perennial,62316117,9.78006E+12,Paperback Nonfiction,2/19/2023,199,4,123
156,BORN A CRIME,Trevor Noah,One World,399588191,9.7804E+12,Paperback Nonfiction,2/19/2023,184,4.5,147
157,HOW THE WORD IS PASSED,Clint Smith,Back Bay,316492922,9.78032E+12,Paperback Nonfiction,2/19/2023,6,4.5,13
158,BETWEEN TWO KINGDOMS,Suleika Jaouad,Random House,399588604,9.7804E+12,Paperback Nonfiction,2/19/2023,17,4,12
159,THESE PRECIOUS DAYS,Ann Patchett,Harper Perennial,63092794,9.78006E+12,Paperback Nonfiction,2/19/2023,10,4.5,29
160,BECOMING FREE INDEED,Jinger Duggar Vuolo with Corey Williams,Thomas Nelson,1400335817,9.7814E+12,Advice How-To and Miscellaneous,2/19/2023,1,,
161,THE GOOD LIFE,Robert Waldinger and Marc Schulz,Simon & Schuster,198216669X,9.78198E+12,Advice How-To and Miscellaneous,2/19/2023,4,5,2
162,GO-TO DINNERS,Ina Garten,Clarkson Potter,1984822780,9.78198E+12,Advice How-To and Miscellaneous,2/19/2023,15,5,1
163,LITTLE BLUE TRUCK'S VALENTINE,Alice Schertle.,Clarion,358272440,9.78036E+12,Picture Books,2/19/2023,19,4,1
164,LOVE FROM THE VERY HUNGRY CATERPILLAR,Eric Carle,Grosset & Dunlap,448489325,9.78045E+12,Picture Books,2/19/2023,47,,
165,HOW TO CATCH A LOVEOSAURUS,Alice Walstead.,Sourcebooks Wonderland,1728268788,9.78173E+12,Picture Books,2/19/2023,5,,
166,GRUMPY MONKEY VALENTINE GROSS-OUT,Suzanne Lang.,Random House Studio,593486927,9.78059E+12,Picture Books,2/19/2023,5,,
167,LOVE FROM THE CRAYONS,Drew Daywalt and Oliver Jeffers,Penguin Workshop,1524792683,9.78152E+12,Picture Books,2/19/2023,18,,
168,IN MY HEART,Jo Witek.,Abrams Appleseed,1419713108,9.78142E+12,Picture Books,2/19/2023,13,,
169,PETE THE CAT: VALENTINE'S DAY IS COOL,James Dean and Kimberly Dean,HarperFestival,62198653,9.78006E+12,Picture Books,2/19/2023,19,3.5,3
170,THE SMALLEST SPOT OF A DOT,Linsey Davis and Michael Tyler.,Zonderkidz,310748801,9.78031E+12,Picture Books,2/19/2023,1,,
171,THE ABCS OF BLACK HISTORY,Rio Cortez.,Workman,1523507497,9.78152E+12,Picture Books,2/19/2023,10,4.5,3
172,THE LAST HOURS,Cassandra Clare,Margaret K. McElderry,1481431935,9.78148E+12,Series Books,2/19/2023,1,,
173,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,Delacorte,593379888,9.78059E+12,Series Books,2/19/2023,71,4,30
174,THRONE OF GLASS,Sarah J. Maas,Bloomsbury,1599909391,9.7816E+12,Series Books,2/19/2023,63,3.5,1693
175,HOW TO BE A (YOUNG) ANTIRACIST,Ibram X. Kendi and Nic Stone,Kokila,593461606,9.78059E+12,Young Adult Hardcover,2/19/2023,1,,
176,WITHOUT A TRACE,Danielle Steel,Delacorte,1984821873,9.78198E+12,Combined Print and E-Book Fiction,1/22/2023,1,3.5,2
177,DEMON COPPERHEAD,Barbara Kingsolver,Harper,006325199X,9.78006E+12,Combined Print and E-Book Fiction,1/22/2023,9,,
178,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,Knopf,593321219,9.78059E+12,Combined Print and E-Book Fiction,1/22/2023,4,3.5,45
179,LOATHE TO LOVE YOU,Ali Hazelwood,Berkley,593437802,9.78059E+12,Combined Print and E-Book Fiction,1/22/2023,1,4,1
180,THE JANUARY 6 REPORT,the House January 6th Committee,Harper,63315505,9.78006E+12,Combined Print and E-Book Nonfiction,1/22/2023,2,,
181,MYTH AMERICA,edited  Kevin M. Kruse and Julian E. Zelizer,Basic,1541601394,9.78154E+12,Combined Print and E-Book Nonfiction,1/22/2023,1,,
182,AN IMMENSE WORLD,Ed Yong,Random House,593133234,9.78059E+12,Combined Print and E-Book Nonfiction,1/22/2023,11,4.5,8
183,THE REVOLUTIONARY,Stacy Schiff,"Little, Brown",316441112,9.78032E+12,Combined Print and E-Book Nonfiction,1/22/2023,11,4.5,4
184,THE SONG OF THE CELL,Siddhartha Mukherjee,Scribner,1982117354,9.78198E+12,Combined Print and E-Book Nonfiction,1/22/2023,11,5,5
185,WITHOUT A TRACE,Danielle Steel,Delacorte,1984821865,9.78198E+12,Hardcover Fiction,1/22/2023,1,3.5,2
186,BABEL,R.F. Kuang,Harper Voyager,63021420,9.78006E+12,Hardcover Fiction,1/22/2023,6,3.5,17
187,AGE OF VICE,Deepti Kapoor,Riverhead,593328795,9.78059E+12,Hardcover Fiction,1/22/2023,1,4,3
188,A WORLD OF CURIOSITIES,Louise Penny,Minotaur,1250145295,9.78125E+12,Hardcover Fiction,1/22/2023,6,4,23
189,THE VILLA,Rachel Hawkins,St. Martin's,125028001X,9.78125E+12,Hardcover Fiction,1/22/2023,1,4,20
190,DREAMLAND,Nicholas Sparks,Random House,059344955X,9.78059E+12,Hardcover Fiction,1/22/2023,16,3.5,6
191,THE PHILOSOPHY OF MODERN SONG,Bob Dylan,Simon & Schuster,1451648707,9.78145E+12,Hardcover Nonfiction,1/22/2023,10,4,6
192,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Flatiron,1250223180,9.78125E+12,Hardcover Nonfiction,1/22/2023,46,5,3
193,FINDING ME,Viola Davis,HarperOne,63037327,9.78006E+12,Hardcover Nonfiction,1/22/2023,26,4.5,10
194,STARRY MESSENGER,Neil deGrasse Tyson,Holt,1250861500,9.78125E+12,Hardcover Nonfiction,1/22/2023,10,4,6
